step= 276,480 | ep= 1,080 | lvl=expert | ph=B cbs=0.56 | rew=-1.691 | goals=21.9 | coll=263.1 | pol=-0.0028 | val=0.0255 | ent=0.984 | 117 sps
step= 278,528 | ep= 1,088 | lvl=expert | ph=B cbs=0.55 | rew=-1.666 | goals=22.7 | coll=262.6 | pol=-0.0035 | val=0.0139 | ent=1.038 | 116 sps
step= 280,576 | ep= 1,096 | lvl=expert | ph=B cbs=0.55 | rew=-1.684 | goals=22.5 | coll=263.0 | pol=-0.0020 | val=0.0409 | ent=0.994 | 116 sps
step= 282,624 | ep= 1,104 | lvl=expert | ph=B cbs=0.54 | rew=-1.724 | goals=21.9 | coll=259.7 | pol=-0.0037 | val=0.0146 | ent=1.071 | 116 sps
step= 284,672 | ep= 1,112 | lvl=expert | ph=B cbs=0.54 | rew=-1.713 | goals=22.0 | coll=259.6 | pol=-0.0029 | val=0.0283 | ent=0.870 | 116 sps
step= 286,720 | ep= 1,120 | lvl=expert | ph=B cbs=0.53 | rew=-1.739 | goals=22.0 | coll=261.0 | pol=-0.0048 | val=0.0142 | ent=1.032 | 115 sps
step= 288,768 | ep= 1,128 | lvl=expert | ph=B cbs=0.53 | rew=-1.864 | goals=21.2 | coll=270.7 | pol=-0.0016 | val=0.0228 | ent=0.952 | 115 sps
step= 290,816 | ep= 1,136 | lvl=expert | ph=B cbs=0.52 | rew=-1.973 | goals=20.2 | coll=268.4 | pol=-0.0041 | val=0.0140 | ent=0.736 | 115 sps
step= 292,864 | ep= 1,144 | lvl=expert | ph=B cbs=0.52 | rew=-1.918 | goals=20.9 | coll=271.1 | pol=-0.0036 | val=0.0113 | ent=0.962 | 115 sps
step= 294,912 | ep= 1,152 | lvl=expert | ph=B cbs=0.51 | rew=-1.853 | goals=21.7 | coll=276.9 | pol=-0.0040 | val=0.0227 | ent=1.038 | 114 sps
step= 296,960 | ep= 1,160 | lvl=expert | ph=B cbs=0.51 | rew=-1.855 | goals=21.9 | coll=280.4 | pol=-0.0030 | val=0.0260 | ent=1.025 | 114 sps
step= 299,008 | ep= 1,168 | lvl=expert | ph=B cbs=0.50 | rew=-1.903 | goals=21.4 | coll=281.4 | pol=-0.0031 | val=0.0166 | ent=0.914 | 114 sps
step= 301,056 | ep= 1,176 | lvl=expert | ph=B cbs=0.50 | rew=-1.912 | goals=20.5 | coll=266.3 | pol=-0.0030 | val=0.0124 | ent=0.852 | 114 sps
step= 303,104 | ep= 1,184 | lvl=expert | ph=B cbs=0.49 | rew=-1.917 | goals=20.0 | coll=265.5 | pol=-0.0032 | val=0.0203 | ent=0.898 | 114 sps
step= 305,152 | ep= 1,192 | lvl=expert | ph=B cbs=0.49 | rew=-1.922 | goals=19.7 | coll=265.8 | pol=-0.0030 | val=0.0466 | ent=0.840 | 113 sps
step= 307,200 | ep= 1,200 | lvl=expert | ph=B cbs=0.48 | rew=-1.893 | goals=19.8 | coll=261.8 | pol=-0.0035 | val=0.0118 | ent=0.998 | 113 sps
